,,Atlanta,Atlanta,Atlanta,Atlanta,Chicago,Chicago,Chicago,Chicago,Nashville,Nashville,Nashville,Nashville,LA,LA,LA,LA,NY,NY,NY,NY
Thu,11/18/2021,1791,2659,-868,107332,8165,10768,-2603,96028,1601,6397,-4796,101845,4868,5435,-567,85473,3794,4600,-806,91566
Fri,11/19/2021,9345,1682,7663,114995,10983,1528,9455,105483,3504,8648,-5144,96701,7283,3403,3880,89353,5591,4214,1377,92943
Sat,11/20/2021,16292,6677,9615,124610,869,2570,-1701,103782,12501,9932,2569,99270,15871,5204,10667,100020,2337,16072,-13735,79208
Sun,11/21/2021,8157,9461,-1304,123306,2586,6003,-3417,100365,6089,7810,-1721,97549,9921,4003,5918,105938,12268,3025,9243,88451
Mon,11/22/2021,0,0,0,123306,7586,4185,3401,103766,10321,6781,3540,101089,5167,4342,825,106763,2785,7191,-4406,84045
Tue,11/23/2021,4446,7879,-3433,119873,9930,8923,1007,104773,7231,0,7231,108320,4694,8618,-3924,102839,2398,1002,1396,85441
Wed,11/24/2021,3054,2400,654,120527,3974,1353,2621,107394,1245,6499,-5254,103066,0,0,0,102839,13540,4797,8743,94184
Thu,11/25/2021,9898,0,9898,130425,2829,14518,-11689,95705,8246,2724,5522,108588,5877,4753,1124,103963,0,6575,-6575,87609
Fri,11/26/2021,6481,14355,-7874,122551,7710,0,7710,103415,5283,1579,3704,112292,4279,3417,862,104825,0,1804,-1804,85805
Sat,11/27/2021,3288,6358,-3070,119481,0,4577,-4577,98838,3527,0,3527,115819,20520,5627,14893,119718,7065,2211,4854,90659
Sun,11/28/2021,2214,12530,-10316,109165,5635,6167,-532,98306,10811,8764,2047,117866,3873,3693,180,119898,2328,16613,-14285,76374
Mon,11/29/2021,4339,14427,-10088,99077,8341,3216,5125,103431,9756,7714,2042,119908,3272,10782,-7510,112388,0,0,0,76374
Tue,11/30/2021,4440,10481,-6041,93036,2222,17183,-14961,88470,10837,10017,820,120728,7450,7636,-186,112202,2984,1053,1931,78305
Wed,12/1/2021,16896,17466,-570,92466,9507,0,9507,97977,13233,2742,10491,131219,6356,13325,-6969,105233,6705,0,6705,85010
Thu,12/2/2021,4196,2657,1539,94005,9878,4062,5816,103793,1611,4012,-2401,128818,8293,8263,30,105263,13283,0,13283,98293
Fri,12/3/2021,10418,5403,5015,99020,14187,5752,8435,112228,0,5738,-5738,123080,5171,0,5171,110434,7856,13166,-5310,92983
Sat,12/4/2021,9537,10923,-1386,97634,8000,678,7322,119550,4589,6013,-1424,121656,8565,12565,-4000,106434,1927,1687,240,93223
Sun,12/5/2021,2786,6143,-3357,94277,5683,1044,4639,124189,11483,9618,1865,123521,1793,2974,-1181,105253,10872,4496,6376,99599
Mon,12/6/2021,0,1116,-1116,93161,1272,5124,-3852,120337,5060,8717,-3657,119864,4280,6843,-2563,102690,5401,0,5401,105000
Tue,12/7/2021,6089,0,6089,99250,2646,11022,-8376,111961,11334,1761,9573,129437,8795,0,8795,111485,13075,13502,-427,104573
Wed,12/8/2021,5490,4286,1204,100454,2902,0,2902,114863,784,0,784,130221,4603,5870,-1267,110218,4335,2785,1550,106123
Thu,12/9/2021,2709,7905,-5196,95258,9618,4279,5339,120202,10144,16810,-6666,123555,6426,8643,-2217,108001,3436,0,3436,109559
Fri,12/10/2021,10229,2555,7674,102932,5529,5316,213,120415,0,6996,-6996,116559,5730,0,5730,113731,4757,2827,1930,111489
Sat,12/11/2021,5154,661,4493,107425,3585,0,3585,124000,3647,9853,-6206,110353,5198,10999,-5801,107930,2172,8788,-6616,104873
Sun,12/12/2021,1811,2548,-737,106688,3830,2013,1817,125817,12311,7541,4770,115123,3277,4528,-1251,106679,12235,10764,1471,106344
Mon,12/13/2021,0,7619,-7619,99069,2445,10106,-7661,118156,19128,6987,12141,127264,9270,2680,6590,113269,2916,2328,588,106932
Tue,12/14/2021,0,0,0,99069,8053,0,8053,126209,8272,7156,1116,128380,9140,3525,5615,118884,10758,1493,9265,116197
Wed,12/15/2021,4784,11529,-6745,92324,13152,6393,6759,132968,0,5225,-5225,123155,3523,8381,-4858,114026,1980,6378,-4398,111799
Thu,12/16/2021,9132,9533,-401,91923,5284,9314,-4030,128938,13343,2838,10505,133660,9746,0,9746,123772,654,4371,-3717,108082
Fri,12/17/2021,14091,5705,8386,100309,11711,7081,4630,133568,4385,9608,-5223,128437,6423,0,6423,130195,13589,10810,2779,110861
Sat,12/18/2021,2810,6308,-3498,96811,4265,11885,-7620,125948,1293,9095,-7802,120635,0,7867,-7867,122328,0,6640,-6640,104221
Sun,12/19/2021,6851,6647,204,97015,2136,6290,-4154,121794,10004,15028,-5024,115611,4849,3929,920,123248,4071,10184,-6113,98108
Mon,12/20/2021,3471,1921,1550,98565,5287,9307,-4020,117774,4787,6982,-2195,113416,6366,4506,1860,125108,11824,4582,7242,105350
Tue,12/21/2021,5623,10303,-4680,93885,8024,2931,5093,122867,0,0,0,113416,12339,7129,5210,130318,1752,2137,-385,104965
Wed,12/22/2021,16995,7881,9114,102999,20673,10492,10181,133048,5145,6014,-869,112547,9209,22650,-13441,116877,4146,5497,-1351,103614
Thu,12/23/2021,7947,6361,1586,104585,7075,7239,-164,132884,10749,9520,1229,113776,4953,7599,-2646,114231,10375,7452,2923,106537
Fri,12/24/2021,4789,2987,1802,106387,6049,4118,1931,134815,9705,5534,4171,117947,3706,6171,-2465,111766,13481,3983,9498,116035
Sat,12/25/2021,9831,10116,-285,106102,15736,6867,8869,143684,3299,8201,-4902,113045,5318,2893,2425,114191,10997,2152,8845,124880
Sun,12/26/2021,7651,11190,-3539,102563,6956,9718,-2762,140922,4588,4250,338,113383,6409,8688,-2279,111912,7843,8160,-317,124563
Mon,12/27/2021,9078,5241,3837,106400,10621,4772,5849,146771,11241,8011,3230,116613,11488,14348,-2860,109052,14388,3147,11241,135804
Tue,12/28/2021,3055,1340,1715,108115,4563,12695,-8132,138639,20899,2543,18356,134969,16983,7115,9868,118920,5419,4353,1066,136870
Wed,12/29/2021,7696,3281,4415,112530,3670,14100,-10430,128209,14952,8385,6567,141536,8717,5015,3702,122622,8469,2172,6297,143167
Thu,12/30/2021,12270,14079,-1809,110721,5443,4353,1090,129299,5902,16633,-10731,130805,6040,5070,970,123592,13500,1927,11573,154740
Fri,12/31/2021,1964,3451,-1487,109234,2810,4723,-1913,127386,10291,0,10291,141096,10917,5533,5384,128976,1743,13582,-11839,142901
Sat,1/1/2022,5145,2243,2902,112136,5588,0,5588,132974,0,10808,-10808,130288,19244,5181,14063,143039,7551,10041,-2490,140411
Sun,1/2/2022,8709,5492,3217,115353,16454,0,16454,149428,2289,9444,-7155,123133,4873,2273,2600,145639,15593,7660,7933,148344
Mon,1/3/2022,0,15262,-15262,100091,9372,3678,5694,155122,6176,5520,656,123789,17351,10764,6587,152226,0,10900,-10900,137444
Tue,1/4/2022,2629,1025,1604,101695,8339,6762,1577,156699,14008,3730,10278,134067,10668,7206,3462,155688,1677,9799,-8122,129322
Wed,1/5/2022,8729,4480,4249,105944,9155,5812,3343,160042,4591,6238,-1647,132420,11202,0,11202,166890,6517,2697,3820,133142
Thu,1/6/2022,13560,1356,12204,118148,10146,6730,3416,163458,4721,8063,-3342,129078,14335,6412,7923,174813,9150,4828,4322,137464
Fri,1/7/2022,12014,13988,-1974,116174,14075,7395,6680,170138,12447,0,12447,141525,0,2291,-2291,172522,4261,9110,-4849,132615
Sat,1/8/2022,15065,13705,1360,117534,2322,5203,-2881,167257,2616,4207,-1591,139934,2540,7788,-5248,167274,8728,12258,-3530,129085
Sun,1/9/2022,0,0,0,117534,13772,17971,-4199,163058,4157,6154,-1997,137937,16385,4795,11590,178864,6352,3634,2718,131803
Mon,1/10/2022,7485,10576,-3091,114443,6722,6697,25,163083,0,6777,-6777,131160,9204,4739,4465,183329,7523,4475,3048,134851
Tue,1/11/2022,17183,2629,14554,128997,10623,8893,1730,164813,5644,10553,-4909,126251,6718,10343,-3625,179704,1379,1743,-364,134487
Wed,1/12/2022,5215,6195,-980,128017,1938,20343,-18405,146408,5963,10729,-4766,121485,6698,26491,-19793,159911,10245,16415,-6170,128317
Thu,1/13/2022,8897,0,8897,136914,7257,7532,-275,146133,7305,5608,1697,123182,2763,7723,-4960,154951,7986,5806,2180,130497
Fri,1/14/2022,1888,17381,-15493,121421,4176,15129,-10953,135180,12776,14144,-1368,121814,9212,5822,3390,158341,17568,8183,9385,139882
Sat,1/15/2022,16156,9544,6612,128033,1982,17374,-15392,119788,4884,2289,2595,124409,4331,19270,-14939,143402,6398,11504,-5106,134776
Sun,1/16/2022,0,0,0,128033,4643,2021,2622,122410,16044,2229,13815,138224,8597,8363,234,143636,0,5555,-5555,129221
Mon,1/17/2022,2181,4470,-2289,125744,19115,3922,15193,137603,6371,4607,1764,139988,553,4757,-4204,139432,7002,7216,-214,129007
Tue,1/18/2022,2890,0,2890,128634,5451,5804,-353,137250,11687,7889,3798,143786,6891,14475,-7584,131848,12099,8587,3512,132519
Wed,1/19/2022,4512,0,4512,133146,3269,11813,-8544,128706,22154,19192,2962,146748,14237,13498,739,132587,0,2399,-2399,130120
Thu,1/20/2022,6317,7781,-1464,131682,13575,13155,420,129126,15931,10699,5232,151980,18352,6242,12110,144697,16012,4006,12006,142126
Fri,1/21/2022,8166,11028,-2862,128820,0,5774,-5774,123352,5109,3307,1802,153782,9787,13412,-3625,141072,15101,9961,5140,147266
Sat,1/22/2022,9224,3953,5271,134091,17660,9223,8437,131789,15257,10293,4964,158746,3566,8550,-4984,136088,4491,12649,-8158,139108
Sun,1/23/2022,6932,6643,289,134380,17722,1749,15973,147762,19432,5636,13796,172542,3429,9925,-6496,129592,6469,1977,4492,143600
Mon,1/24/2022,9352,1355,7997,142377,10957,1490,9467,157229,7249,2272,4977,177519,7881,2540,5341,134933,8381,12012,-3631,139969
Tue,1/25/2022,0,9885,-9885,132492,13337,0,13337,170566,11671,2507,9164,186683,5199,2738,2461,137394,3368,16062,-12694,127275
Wed,1/26/2022,9434,9242,192,132684,10316,13288,-2972,167594,6221,12739,-6518,180165,4498,4282,216,137610,13201,1008,12193,139468
Thu,1/27/2022,5292,15415,-10123,122561,15708,18422,-2714,164880,3068,11799,-8731,171434,4286,6044,-1758,135852,2007,5988,-3981,135487
Fri,1/28/2022,7008,12193,-5185,117376,2757,6872,-4115,160765,12987,6711,6276,177710,5112,6924,-1812,134040,5167,11040,-5873,129614
Sat,1/29/2022,9243,6092,3151,120527,14033,1571,12462,173227,7003,11407,-4404,173306,7569,5408,2161,136201,9316,6470,2846,132460
Sun,1/30/2022,11102,1888,9214,129741,12583,17484,-4901,168326,9133,4279,4854,178160,24352,3399,20953,157154,8419,7618,801,133261
Mon,1/31/2022,12246,6645,5601,135342,7314,8734,-1420,166906,3973,7680,-3707,174453,8090,19094,-11004,146150,12549,6745,5804,139065
Tue,2/1/2022,6257,9468,-3211,132131,5471,6020,-549,166357,6423,1186,5237,179690,0,17287,-17287,128863,3584,6826,-3242,135823
Wed,2/2/2022,10006,4927,5079,137210,18102,8033,10069,176426,0,5823,-5823,173867,10051,4645,5406,134269,5904,6461,-557,135266
Thu,2/3/2022,8825,10795,-1970,135240,11268,13364,-2096,174330,15430,8218,7212,181079,12723,2909,9814,144083,7541,10733,-3192,132074
Fri,2/4/2022,5662,16255,-10593,124647,9887,6287,3600,177930,4618,11700,-7082,173997,4967,3792,1175,145258,0,7328,-7328,124746
Sat,2/5/2022,11641,9304,2337,126984,7512,1253,6259,184189,2318,7516,-5198,168799,3730,3681,49,145307,9033,0,9033,133779
Sun,2/6/2022,10629,3741,6888,133872,1821,12228,-10407,173782,5348,17387,-12039,156760,6888,7190,-302,145005,9507,10604,-1097,132682
Mon,2/7/2022,7883,2524,5359,139231,6059,9095,-3036,170746,1797,6673,-4876,151884,8867,4816,4051,149056,6523,13131,-6608,126074
Tue,2/8/2022,6757,4285,2472,141703,5053,13247,-8194,162552,1318,9230,-7912,143972,4587,8838,-4251,144805,12585,8136,4449,130523
Wed,2/9/2022,1561,15679,-14118,127585,0,9835,-9835,152717,5125,24204,-19079,124893,3458,0,3458,148263,3165,10728,-7563,122960
Thu,2/10/2022,5517,9440,-3923,123662,929,12824,-11895,140822,6966,4962,2004,126897,10349,13340,-2991,145272,4078,11084,-7006,115954
Fri,2/11/2022,3096,14526,-11430,112232,13151,11305,1846,142668,2047,15577,-13530,113367,0,9976,-9976,135296,8221,3678,4543,120497
Sat,2/12/2022,2674,4397,-1723,110509,4764,3432,1332,144000,12429,4885,7544,120911,1489,6860,-5371,129925,17808,5275,12533,133030
Sun,2/13/2022,4079,0,4079,114588,3210,12699,-9489,134511,1754,20069,-18315,102596,6296,7783,-1487,128438,2174,5266,-3092,129938
Mon,2/14/2022,1822,4798,-2976,111612,11177,0,11177,145688,5419,2581,2838,105434,3758,2296,1462,129900,6364,5176,1188,131126
Tue,2/15/2022,7202,12340,-5138,106474,6325,10366,-4041,141647,7114,3424,3690,109124,5359,5725,-366,129534,4757,14414,-9657,121469
Wed,2/16/2022,5085,14690,-9605,96869,0,10961,-10961,130686,6097,5303,794,109918,4102,9238,-5136,124398,16975,0,16975,138444
Thu,2/17/2022,5353,9131,-3778,93091,7317,0,7317,138003,7970,4397,3573,113491,5311,20441,-15130,109268,1329,14062,-12733,125711
Fri,2/18/2022,3880,5866,-1986,91105,1535,3560,-2025,135978,16259,0,16259,129750,6167,4925,1242,110510,6130,0,6130,131841
Sat,2/19/2022,17789,10291,7498,98603,3425,30536,-27111,108867,7118,7098,20,129770,3440,6789,-3349,107161,10181,11343,-1162,130679
Sun,2/20/2022,9584,9809,-225,98378,4007,3950,57,108924,7521,4488,3033,132803,4935,5387,-452,106709,5837,1651,4186,134865
Mon,2/21/2022,4446,4440,6,98384,9188,9278,-90,108834,14325,3672,10653,143456,6852,2575,4277,110986,0,0,0,134865
Tue,2/22/2022,784,0,784,99168,5064,6786,-1722,107112,8520,12179,-3659,139797,7821,4123,3698,114684,9806,11759,-1953,132912
Wed,2/23/2022,4492,0,4492,103660,0,5515,-5515,101597,10790,0,10790,150587,8601,15480,-6879,107805,2371,5171,-2800,130112
Thu,2/24/2022,8432,8082,350,104010,6363,3914,2449,104046,10647,21932,-11285,139302,6815,2050,4765,112570,7017,2896,4121,134233
Fri,2/25/2022,18078,8439,9639,113649,3251,0,3251,107297,17162,12067,5095,144397,14374,5269,9105,121675,7849,8687,-838,133395
Sat,2/26/2022,1730,0,1730,115379,4162,9861,-5699,101598,9058,5051,4007,148404,4578,13759,-9181,112494,0,0,0,133395
Sun,2/27/2022,11879,3323,8556,123935,15948,4484,11464,113062,2112,2684,-572,147832,0,6873,-6873,105621,4724,7758,-3034,130361
Mon,2/28/2022,17568,13036,4532,128467,5917,10651,-4734,108328,3313,4508,-1195,146637,5140,9312,-4172,101449,0,11826,-11826,118535
Tue,3/1/2022,4209,7494,-3285,125182,13740,11379,2361,110689,8260,6090,2170,148807,12911,3428,9483,110932,1343,10088,-8745,109790
Wed,3/2/2022,1719,7151,-5432,119750,1803,5891,-4088,106601,2317,11115,-8798,140009,5858,7061,-1203,109729,8718,3372,5346,115136
Thu,3/3/2022,3871,2219,1652,121402,7361,2664,4697,111298,8743,2062,6681,146690,4261,14686,-10425,99304,1734,10392,-8658,106478
Fri,3/4/2022,1402,3096,-1694,119708,5327,2943,2384,113682,7209,16359,-9150,137540,5200,0,5200,104504,0,6617,-6617,99861
Sat,3/5/2022,2727,1886,841,120549,1422,0,1422,115104,1934,1863,71,137611,4804,4713,91,104595,5272,2607,2665,102526
Sun,3/6/2022,5126,2448,2678,123227,4514,9938,-5424,109680,9050,6129,2921,140532,4390,4711,-321,104274,4422,9095,-4673,97853
Mon,3/7/2022,1921,9155,-7234,115993,9147,5600,3547,113227,11909,2525,9384,149916,0,7688,-7688,96586,7013,8188,-1175,96678
Tue,3/8/2022,0,20180,-20180,95813,3819,4223,-404,112823,5951,8533,-2582,147334,0,4979,-4979,91607,7167,11083,-3916,92762
Wed,3/9/2022,4795,2041,2754,98567,4642,2470,2172,114995,10781,3420,7361,154695,2708,1489,1219,92826,3833,8798,-4965,87797
Thu,3/10/2022,22692,6363,16329,114896,5498,4010,1488,116483,0,4764,-4764,149931,14583,8054,6529,99355,3879,13820,-9941,77856
Fri,3/11/2022,3341,4488,-1147,113749,934,4433,-3499,112984,6208,10807,-4599,145332,1209,12752,-11543,87812,12914,0,12914,90770
Sat,3/12/2022,3201,3557,-356,113393,1647,11150,-9503,103481,13482,9703,3779,149111,10065,6755,3310,91122,8412,8766,-354,90416
Sun,3/13/2022,8552,23267,-14715,98678,12596,2553,10043,113524,952,10928,-9976,139135,3005,4390,-1385,89737,0,0,0,90416
Mon,3/14/2022,0,4130,-4130,94548,7536,5438,2098,115622,4909,6279,-1370,137765,14075,7533,6542,96279,1432,0,1432,91848
Tue,3/15/2022,0,0,0,94548,6466,6472,-6,115616,10924,0,10924,148689,15026,6598,8428,104707,0,9436,-9436,82412
Wed,3/16/2022,4627,8442,-3815,90733,0,3939,-3939,111677,10771,1684,9087,157776,1469,1153,316,105023,5534,2294,3240,85652
Thu,3/17/2022,2093,3412,-1319,89414,8308,9022,-714,110963,8929,9197,-268,157508,7676,4446,3230,108253,0,1329,-1329,84323
Fri,3/18/2022,12294,8072,4222,93636,7872,4155,3717,114680,1841,18494,-16653,140855,6115,1209,4906,113159,4497,1766,2731,87054
Sat,3/19/2022,4585,12349,-7764,85872,9020,8690,330,115010,3790,15432,-11642,129213,8596,7057,1539,114698,7322,2568,4754,91808
Sun,3/20/2022,1137,5596,-4459,81413,9635,11622,-1987,113023,0,11419,-11419,117794,14098,4989,9109,123807,6193,0,6193,98001
Mon,3/21/2022,0,4434,-4434,76979,4051,2042,2009,115032,0,8092,-8092,109702,3334,2507,827,124634,8071,13982,-5911,92090
Tue,3/22/2022,0,11223,-11223,65756,7512,9370,-1858,113174,10293,3878,6415,116117,0,7292,-7292,117342,0,6759,-6759,85331
Wed,3/23/2022,6811,743,6068,71824,1403,14307,-12904,100270,8061,11810,-3749,112368,10348,5342,5006,122348,3423,3432,-9,85322
Thu,3/24/2022,11857,3175,8682,80506,12545,4078,8467,108737,21739,6967,14772,127140,2749,10186,-7437,114911,8347,2540,5807,91129
Fri,3/25/2022,5301,4648,653,81159,0,14166,-14166,94571,1609,6223,-4614,122526,14127,13968,159,115070,6402,10428,-4026,87103
Sat,3/26/2022,3676,0,3676,84835,9478,3631,5847,100418,6569,9750,-3181,119345,3324,3911,-587,114483,1334,7914,-6580,80523
Sun,3/27/2022,0,3347,-3347,81488,6032,10489,-4457,95961,0,8464,-8464,110881,3075,5273,-2198,112285,3374,1986,1388,81911
Mon,3/28/2022,9542,4585,4957,86445,0,4595,-4595,91366,4186,3054,1132,112013,7140,5407,1733,114018,2817,7135,-4318,77593
Tue,3/29/2022,0,0,0,86445,7089,1803,5286,96652,7106,4529,2577,114590,3480,6989,-3509,110509,4003,0,4003,81596
Wed,3/30/2022,12733,3550,9183,95628,3336,4214,-878,95774,0,9738,-9738,104852,1951,2519,-568,109941,10791,1485,9306,90902
Thu,3/31/2022,3779,7420,-3641,91987,4780,13375,-8595,87179,10860,14129,-3269,101583,4378,4606,-228,109713,8952,6704,2248,93150
Fri,4/1/2022,9957,3221,6736,98723,8735,4025,4710,91889,0,3628,-3628,97955,1124,5710,-4586,105127,9488,9042,446,93596
Sat,4/2/2022,1458,5025,-3567,95156,18298,1422,16876,108765,8861,5295,3566,101521,9465,3465,6000,111127,2731,5704,-2973,90623
Sun,4/3/2022,1032,4549,-3517,91639,917,854,63,108828,4549,0,4549,106070,5195,15645,-10450,100677,4035,0,4035,94658
Mon,4/4/2022,10624,2647,7977,99616,7378,2964,4414,113242,1890,10781,-8891,97179,6915,0,6915,107592,5785,3655,2130,96788
Tue,4/5/2022,11853,7997,3856,103472,12564,2860,9704,122946,9949,7844,2105,99284,8907,11607,-2700,104892,17587,5617,11970,108758
Wed,4/6/2022,1610,2308,-698,102774,16629,5163,11466,134412,2098,6804,-4706,94578,6169,8637,-2468,102424,13828,14531,-703,108055
Thu,4/7/2022,7993,10758,-2765,100009,0,4409,-4409,130003,8152,3790,4362,98940,0,1059,-1059,101365,17853,0,17853,125908
Fri,4/8/2022,8789,3676,5113,105122,5711,9508,-3797,126206,0,2154,-2154,96786,5795,5737,58,101423,4645,9866,-5221,120687
Sat,4/9/2022,2964,0,2964,108086,3781,6466,-2685,123521,4436,6983,-2547,94239,9972,4703,5269,106692,7814,4153,3661,124348
Sun,4/10/2022,7776,8474,-698,107388,13939,9027,4912,128433,0,952,-952,93287,7666,3910,3756,110448,11974,2919,9055,133403
Mon,4/11/2022,0,9935,-9935,97453,15207,6596,8611,137044,0,2673,-2673,90614,5756,0,5756,116204,6489,3909,2580,135983
Tue,4/12/2022,6166,0,6166,103619,7079,7561,-482,136562,0,5758,-5758,84856,8229,17403,-9174,107030,6561,3951,2610,138593
Wed,4/13/2022,13493,7516,5977,109596,12037,0,12037,148599,3756,6690,-2934,81922,2437,6145,-3708,103322,3984,6680,-2696,135897
Thu,4/14/2022,8657,8554,103,109699,9438,1966,7472,156071,1423,13086,-11663,70259,11540,7422,4118,107440,10960,4511,6449,142346
Fri,4/15/2022,8586,1032,7554,117253,5813,2044,3769,159840,13521,4017,9504,79763,13621,0,13621,121061,12207,2947,9260,151606
Sat,4/16/2022,9850,1137,8713,125966,1289,6348,-5059,154781,10263,10442,-179,79584,8826,4297,4529,125590,6421,9746,-3325,148281
Sun,4/17/2022,8341,3406,4935,130901,22034,9162,12872,167653,0,7555,-7555,72029,11268,1979,9289,134879,12864,0,12864,161145
Mon,4/18/2022,4742,11816,-7074,123827,9427,14635,-5208,162445,6949,9518,-2569,69460,0,6747,-6747,128132,5527,5474,53,161198
Tue,4/19/2022,2700,8744,-6044,117783,10719,4269,6450,168895,2988,3022,-34,69426,5672,0,5672,133804,3045,5113,-2068,159130
Wed,4/20/2022,0,6001,-6001,111782,6047,12391,-6344,162551,5845,7049,-1204,68222,6635,4241,2394,136198,7341,13918,-6577,152553
Thu,4/21/2022,8039,8699,-660,111122,15711,17165,-1454,161097,2071,6958,-4887,63335,11781,4280,7501,143699,2365,6941,-4576,147977
Fri,4/22/2022,3467,3160,307,111429,11338,13746,-2408,158689,2526,0,2526,65861,4800,5089,-289,143410,5762,1838,3924,151901
Sat,4/23/2022,7975,6426,1549,112978,5820,1268,4552,163241,9332,6189,3143,69004,10349,6015,4334,147744,6957,9685,-2728,149173
Sun,4/24/2022,11299,7093,4206,117184,2361,3368,-1007,162234,1837,3393,-1556,67448,5387,14675,-9288,138456,8651,21554,-12903,136270
Mon,4/25/2022,12922,1394,11528,128712,7067,4088,2979,165213,3237,6154,-2917,64531,0,10440,-10440,128016,10097,5024,5073,141343
Tue,4/26/2022,4212,11787,-7575,121137,2531,14321,-11790,153423,4222,5090,-868,63663,9504,9752,-248,127768,5002,12323,-7321,134022
Wed,4/27/2022,3356,2299,1057,122194,3751,18150,-14399,139024,0,6211,-6211,57452,1525,3630,-2105,125663,2007,16328,-14321,119701
Thu,4/28/2022,7516,15372,-7856,114338,7046,5254,1792,140816,12237,2806,9431,66883,10524,2233,8291,133954,4033,3777,256,119957
Fri,4/29/2022,8842,8955,-113,114225,6100,21945,-15845,124971,1515,1851,-336,66547,11580,7339,4241,138195,6383,11030,-4647,115310
Sat,4/30/2022,13649,7241,6408,120633,13291,14602,-1311,123660,7661,4549,3112,69659,15752,1214,14538,152733,3171,5061,-1890,113420
Sun,5/1/2022,0,8981,-8981,111652,0,4814,-4814,118846,8276,0,8276,77935,9215,4346,4869,157602,9306,5593,3713,117133
Mon,5/2/2022,10722,16165,-5443,106209,5610,1211,4399,123245,2892,3170,-278,77657,3480,3252,228,157830,0,16372,-16372,100761
Tue,5/3/2022,0,0,0,106209,2718,3152,-434,122811,0,3833,-3833,73824,0,9569,-9569,148261,0,18368,-18368,82393
Wed,5/4/2022,0,0,0,106209,14865,10653,4212,127023,8608,0,8608,82432,3126,4636,-1510,146751,0,7892,-7892,74501
Thu,5/5/2022,8819,1717,7102,113311,4690,20476,-15786,111237,9252,8879,373,82805,0,9705,-9705,137046,5053,5537,-484,74017
Fri,5/6/2022,3270,0,3270,116581,0,5426,-5426,105811,13532,2699,10833,93638,5439,9857,-4418,132628,8235,3509,4726,78743
Sat,5/7/2022,4451,10327,-5876,110705,2541,5897,-3356,102455,2723,4881,-2158,91480,4700,10371,-5671,126957,2357,4923,-2566,76177
Sun,5/8/2022,9111,7523,1588,112293,5611,2346,3265,105720,0,2796,-2796,88684,1194,8987,-7793,119164,15497,3118,12379,88556
Mon,5/9/2022,6460,4242,2218,114511,11645,2531,9114,114834,5231,3788,1443,90127,0,4324,-4324,114840,4125,1203,2922,91478
Tue,5/10/2022,2286,7700,-5414,109097,4403,3043,1360,116194,8703,871,7832,97959,9008,8946,62,114902,3445,3521,-76,91402
Wed,5/11/2022,3891,0,3891,112988,6020,16609,-10589,105605,9453,7154,2299,100258,10131,4522,5609,120511,6119,7487,-1368,90034
Thu,5/12/2022,3106,2173,933,113921,6859,10310,-3451,102154,0,0,0,100258,0,5294,-5294,115217,8298,4386,3912,93946
Fri,5/13/2022,3828,0,3828,117749,4745,0,4745,106899,10317,0,10317,110575,6942,5703,1239,116456,7045,8073,-1028,92918
Sat,5/14/2022,6179,5176,1003,118752,13883,1767,12116,119015,10423,0,10423,120998,6519,8770,-2251,114205,8088,3649,4439,97357
Sun,5/15/2022,1279,15208,-13929,104823,0,10754,-10754,108261,7285,7747,-462,120536,0,9390,-9390,104815,14249,0,14249,111606
Mon,5/16/2022,3102,9391,-6289,98534,6449,9809,-3360,104901,9222,7015,2207,122743,7823,11554,-3731,101084,3508,4372,-864,110742
Tue,5/17/2022,9020,9134,-114,98420,3864,0,3864,108765,2533,4130,-1597,121146,4508,11268,-6760,94324,8926,10641,-1715,109027
Wed,5/18/2022,5110,6298,-1188,97232,3187,3300,-113,108652,4790,21663,-16873,104273,0,1847,-1847,92477,9963,0,9963,118990
Thu,5/19/2022,10531,6657,3874,101106,3358,3155,203,108855,1135,8805,-7670,96603,5417,3128,2289,94766,0,7565,-7565,111425
Fri,5/20/2022,4387,0,4387,105493,2406,0,2406,111261,7262,6654,608,97211,3933,0,3933,98699,14151,3718,10433,121858
Sat,5/21/2022,3672,2787,885,106378,7303,2718,4585,115846,15226,14107,1119,98330,16760,1840,14920,113619,3274,0,3274,125132
Sun,5/22/2022,6111,12950,-6839,99539,9425,12160,-2735,113111,4164,0,4164,102494,17395,14989,2406,116025,0,6694,-6694,118438
Mon,5/23/2022,1586,10588,-9002,90537,11854,1409,10445,123556,10612,2155,8457,110951,6939,12422,-5483,110542,4943,8651,-3708,114730
Tue,5/24/2022,2855,7291,-4436,86101,5078,10928,-5850,117706,11088,6219,4869,115820,15620,6328,9292,119834,11511,10144,1367,116097
Wed,5/25/2022,6644,11513,-4869,81232,2237,4256,-2019,115687,0,4215,-4215,111605,0,9711,-9711,110123,0,9301,-9301,106796
Thu,5/26/2022,1787,17810,-16023,65209,10978,4161,6817,122504,5871,15277,-9406,102199,8557,0,8557,118680,2121,2813,-692,106104
Fri,5/27/2022,7085,0,7085,72294,8548,13724,-5176,117328,10565,4223,6342,108541,4112,5465,-1353,117327,2914,3523,-609,105495
Sat,5/28/2022,13819,3168,10651,82945,10765,16820,-6055,111273,7347,0,7347,115888,6764,4687,2077,119404,11821,15335,-3514,101981
Sun,5/29/2022,4281,4387,-106,82839,2872,8819,-5947,105326,5709,0,5709,121597,8126,14038,-5912,113492,16710,12761,3949,105930
Mon,5/30/2022,7494,4872,2622,85461,5175,4282,893,106219,3218,4713,-1495,120102,0,7226,-7226,106266,0,12795,-12795,93135
